RA_deg,Dec_deg,Gaia_magnitude
86.193413,-65.735541,4.22
9.220162,33.719352,4.22
125.162033,-77.484576,4.22
326.127877,17.350044,4.22
210.431216,-45.60337,4.22
234.513843,-42.567485,4.22
97.964034,-23.418437,4.22
263.053738,86.586329,4.23
98.744114,-52.975635,4.23
132.108254,5.837885,4.23
47.906957,19.726698,4.23
186.734698,28.26862,4.23
104.319161,58.42306,4.23
326.236616,-33.025553,4.23
121.98267,-68.617136,4.23
72.653009,8.900253,4.23
289.092064,38.133728,4.23
275.806752,-61.493905,4.23
229.457687,-30.148662,4.23
294.180319,-1.28655,4.24
61.173574,22.082068,4.24
10.838517,-57.463098,4.24
33.250046,8.846752,4.24
211.511608,-41.17958,4.24
122.148574,-2.983776,4.24
52.643676,47.995172,4.24
78.307854,-12.941288,4.24
7.88567,-62.958085,4.24
89.384216,-35.283307,4.24
104.034276,-17.054247,4.24
73.223668,-5.452756,4.24
0.489965,-6.013972,4.25
165.038524,-42.22587,4.25
299.93406,-35.276244,4.25
272.189553,20.814572,4.25
109.677033,-24.954384,4.25
94.138064,-35.140732,4.25
351.511739,-20.641861,4.26
197.48755,-5.53893,4.26
302.222152,77.711362,4.26
353.242451,-37.818359,4.26
319.966183,-53.449264,4.27
295.024094,18.013938,4.27
88.596183,20.276415,4.27
260.250876,-21.112435,4.27
83.705158,9.489585,4.27
120.566472,2.334314,4.27
151.976328,9.997664,4.27
253.502097,10.165443,4.27
295.262224,17.476124,4.27
95.942074,4.592839,4.27
225.725292,2.091271,4.27
28.411749,-46.302446,4.27
57.380356,65.526006,4.27
329.479296,-54.992567,4.28
14.301782,23.41776,4.28
117.021562,-25.937181,4.28
122.256848,-19.245001,4.28
284.237669,-67.233535,4.28
262.684575,26.110605,4.29
349.475848,-9.18249,4.29
319.47945,34.896881,4.29
215.759405,-39.511766,4.29
102.463817,-53.622492,4.29
107.784965,30.245281,4.29
346.974325,75.387581,4.29
269.625624,30.189269,4.29
349.705945,-32.531836,4.29
99.472608,-18.237457,4.3
165.582422,20.179746,4.3
270.43829,1.305109,4.3
222.572778,-27.960219,4.3
236.611441,7.35324,4.3
91.893008,14.768523,4.3
123.51203,-40.34773,4.3
108.563402,-26.352516,4.3
335.890152,52.2295,4.3
108.384295,-44.64053,4.3
351.344423,23.404012,4.3
74.321752,53.752083,4.31
288.439536,39.14597,4.31
63.823492,-7.644558,4.31
310.864774,15.074682,4.31
56.535427,-12.101735,4.31
305.964983,32.190186,4.31
311.934325,-5.027603,4.31
300.664414,-27.70988,4.31
12.170397,7.585202,4.32
3.660136,-18.932686,4.32
292.176713,24.665165,4.32
113.513358,-22.296181,4.32
70.14093,-41.86357,4.32
94.905795,59.010905,4.32
218.154514,-50.457121,4.32
122.839584,-39.618553,4.32
64.121181,-59.301748,4.32
124.639138,-36.659533,4.32
158.897144,-57.557636,4.33
248.034111,-21.466478,4.33
135.022667,-41.253738,4.33
161.446399,-80.540203,4.33
169.165684,-3.651514,4.33
78.074531,-11.869143,4.33
293.521782,7.379319,4.33
92.984987,14.208814,4.33
25.357948,5.487604,4.33
129.68937,3.341475,4.33
42.272331,-32.406284,4.33
167.914526,-22.825606,4.34
343.131491,-32.87545,4.34
37.266617,67.402384,4.34
137.218274,51.604727,4.34
182.021901,-50.661254,4.34
58.572861,-2.954733,4.34
78.322832,2.861253,4.34
246.796033,-47.554736,4.34
136.286793,-72.602694,4.35
74.637095,1.714035,4.35
98.225957,7.332979,4.35
143.706229,52.051568,4.35
218.669544,29.744807,4.35
141.163664,26.182441,4.35
177.786465,-45.173449,4.35
41.274923,-18.572651,4.35
331.528765,-39.543049,4.35
318.619959,10.007719,4.35
97.042573,-32.580129,4.35
50.084859,29.048498,4.35
224.29607,-4.346086,4.35
119.560183,-49.244929,4.35
101.965237,2.412189,4.36
60.224188,-62.159369,4.36
151.984565,-0.371628,4.36
